day,realized_pnl,expected_pnl,cumulative_realized_pnl,cumulative_expected_pnl,rolling_14d_realized_avg,rolling_14d_expected_avg
2024-12-14,2.122950789959191,2.880378668982326,2.122950789959191,2.880378668982326,2.122950789959191,2.880378668982326
2024-12-15,57.20649924465053,79.06261506906553,59.32945003460972,81.94299373804786,29.66472501730486,40.97149686902393
2024-12-16,21.130232856746257,12.027220459199551,80.45968289135598,93.97021419724742,26.819894297118662,31.323404732415806
2024-12-18,-5.88060917964173,0.32564691499476817,74.57907371171426,94.29586111224218,18.64476842792856,23.573965278060545
2024-12-20,40.08363029218862,25.231013070679538,114.66270400390289,119.52687418292172,22.932540800780576,23.905374836584343
2024-12-21,77.16537342895646,77.07744148043965,191.82807743285935,196.60431566336138,31.97134623880989,32.767385943893565
2024-12-22,76.88426220224989,35.35668955342437,268.71233963510923,231.96100521678574,38.38747709072989,33.13728645954082
2024-12-23,127.81298570883658,104.40102996884752,396.52532534394584,336.36203518563326,49.56566566799322,42.04525439820416
2024-12-26,239.29579796753427,122.57727115986685,635.82112331148,458.9393063455001,70.64679147905333,50.99325626061112
2024-12-27,249.76831828466527,220.9267569773192,885.5894415961453,679.8660633228193,88.55894415961453,67.98660633228192
2024-12-28,185.56502179881304,137.03202712243004,1071.1544633949584,816.8980904452493,106.90315126049991,81.40177117762671
2024-12-29,1580.4271442683917,1587.3060481254574,2651.58160766335,2404.2041385707066,259.225215762874,232.2261144832659
2024-12-30,-92.63315958877989,10.928219493914142,2558.94844807457,2415.132358064621,247.84887651832142,232.11621438673734
2025-01-01,42.20483630244826,334.5213668274518,2601.1532843770183,2749.6537248920727,252.65742106653042,265.5357863779831
2025-01-04,2159.882130227893,1417.2906874382875,4761.035414604911,4166.94441233036,507.68970413022805,441.1488996296665
2025-01-05,3146.7597790255336,2418.718130776885,7907.795193630445,6585.662543107245,848.7869837772595,705.9668375433844
2025-01-06,-62.27595675877505,0.12175346476699378,7845.51923687167,6585.784296572012,827.6659901697471,694.3802512651532
2025-01-10,1164.5259403993969,438.47177242193067,9010.045177271066,7024.256068993943,1015.5569669593651,793.0487507088905
2025-01-11,4944.0741862143805,1977.7102163437394,13954.119363485446,9001.966285337683,1610.370612511311,1023.1335243615541
2025-01-12,8702.104444877314,7446.650671798855,22656.22380836276,16448.61695713654,2500.5802750874263,1755.5516023207288
2025-01-14,23250.929687353007,26684.86323039396,45907.15349571577,43133.4801875305,5418.52563095515,5089.793478683234
2025-01-15,10065.660769747554,5412.871734298623,55972.81426546333,48546.35192182912,6671.4576226357885,5724.587274617131
2025-01-16,-334.04751834772946,0.7750171800612797,55638.766747115595,48547.12693900918,5893.068162526509,5088.6081349019005
2025-01-17,9102.64498335586,6747.243427277588,64741.41173047145,55294.37036628676,6214.025844609443,5254.47166413947
2025-01-18,14515.530604253394,14011.319814764804,79256.94233472485,69305.69018105157,7449.590692011993,6513.874576872121
2025-01-19,13314.736938976972,10006.587074233603,92571.67927370183,79312.27725528517,8466.388408007137,7272.6614712177925
2025-01-20,1432.4407351918821,100.28236024851552,94004.1200088937,79412.55961553368,8615.860077202202,7282.677531896168
2025-01-22,8822.902959140243,3414.939478989966,102827.02296803394,82827.49909452365,8634.68215737839,6931.064981631967
2025-01-24,3016.6378175749874,681.5476304980064,105843.66078560892,83509.04672502166,8803.05596439435,6953.162786911611
2025-01-25,37819.82405763177,66657.23327505535,143663.4848432407,150166.280000077,11791.760498159567,12833.119428612668
2025-01-26,16533.363329624888,22418.941655188246,160196.84817286558,172585.22165526525,12503.69312404571,14194.236790738973
2025-01-27,7536.722135820206,351.2935133190341,167733.57030868577,172936.5151685843,12089.77887502692,13040.658184287313
2025-01-28,-812.8290517983584,1.1122331905967187,166920.7412568874,172937.6274017749,10084.465646764305,10817.012267853699
2025-01-31,4927.816763804225,2062.3708768934735,171848.55802069165,174999.99827866835,10710.71462902202,11970.562791238159
2025-02-01,11477.440661613142,18272.300401337998,183325.99868230478,193272.29868000635,10406.905634757995,12396.660849895477
2025-02-02,14892.159826126035,9884.09167338758,198218.15850843082,203156.39035339394,10564.647923472901,12384.411309810876
2025-02-03,11844.275834099793,6909.933489155335,210062.4343425306,210066.3238425493,11605.831433363694,13065.37642270156
2025-02-06,4400.0,453.72250287845657,214462.4343425306,210520.04634542775,11163.541137449669,12769.254725090408
2025-02-07,6759.136715858641,3667.230309228076,221221.57105838927,214187.2766546558,11537.791027278034,13067.822992963414
2025-02-08,19001.587669704575,12771.503364092987,240223.15872809384,226958.7800187488,9655.967388485315,7679.250001867178
2025-02-09,23828.007270829505,16047.072928110003,264051.16599892336,243005.8529468588,10385.431782605778,7042.0631291593545
2025-02-10,-1200.0,4454.467689870874,262851.16599892336,247460.32063672968,9511.759569023756,7452.380546814538
2025-02-11,6305.47203853237,2647.2879596800226,269156.63803745573,250107.6085964097,10223.58967805683,7716.99811946348
2025-02-12,4560.01335386719,2109.9231057113725,273716.6513913229,252217.53170212108,9708.719103130497,7207.264027304199
2025-02-14,5677.819463663731,1922.2882021713517,279394.47085498663,254139.81990429244,9776.901166754089,7194.529238693096
2025-02-15,65193.906399610874,54037.07334630677,344588.3772545975,308176.8932505992,14660.216233844792,10445.872233690257
2025-02-16,-17924.638442239197,9565.072289361862,326663.7388123583,317741.96553996106,11676.87093672068,10416.870471506101
2025-02-17,11593.910562652422,4968.170210202438,338257.6493750107,322710.1357501635,11654.110457498191,10240.346537055839
2025-02-19,4800.0,4000.275997463499,343057.6493750107,326710.411747627,11082.934586040008,9720.340658756477
2025-02-21,4791.5435641080085,2549.84773808879,347849.1929391187,329260.2594857158,11511.601989157225,10461.18025736909
2025-02-22,26036.88257174716,11765.596102937914,373886.0755108659,341025.85558865377,12151.174252979277,10369.734142718627
2025-02-23,26691.33742885181,16423.948232805138,400577.4129397177,357449.8038214589,12411.47699461767,10403.99553405455
2025-02-24,9968.482972769376,2605.8113083637504,410545.89591248706,360055.61512982263,13426.793628505793,10235.935863008446
2025-02-25,13800.0,3975.791940276397,424345.89591248706,364031.407070099,14108.114352275577,10356.708952153573
2025-02-26,3600.0,1628.5674002982587,427945.89591248706,365659.9744703973,14020.840411014924,10312.94934257056
2025-02-27,6642.744673024767,5.828305434345166,434588.6405855118,365665.8027758316,13405.999099515744,9454.022589475877
2025-02-28,1981.0056588565776,633.306959446749,436569.6462443684,366299.10973527835,13097.931282448482,9346.607485915492
2025-03-01,28904.68710512325,8551.674279923871,465474.33334949164,374850.7840152022,10073.829674574514,5556.157563716918
2025-03-02,4780.74164130988,13271.883977641966,470255.0749908015,388122.6679928442,11965.944681536936,5865.058537740259
2025-03-03,4700.0,4035.9064744371835,474955.0749908015,392158.57446728135,11391.452134649235,5787.369893093154
2025-03-04,13565.135601681352,3100.9039958418057,488520.2105924829,395259.47846312315,11558.658555190168,5580.718670227667
2025-03-07,21080.797913225277,1460.867272659638,509601.00850570813,396720.34573578276,13479.317963882453,5621.673854172252
2025-03-08,21866.82076341579,19619.84441969351,531467.829269124,416340.1901554763,13131.812813188173,6276.194547235217
2025-03-09,10143.579061126795,18142.15044188806,541611.4083302508,434482.34059736435,11752.832949211088,6419.378064658795
2025-03-10,-3064.4984470297045,5.5200726471178,538546.909883221,434487.8606700115,10666.751164227831,6202.6871283490755
2025-03-11,4099.582652332992,1481.9672166951136,542646.492535554,435969.8278867066,9858.383051922248,5994.8684013839675
2025-03-12,42144.62824756246,47498.34325550389,584791.1207831164,483468.1711422105,13070.435405885786,9817.349722651104
2025-03-14,8550.0,1989.4471877703647,593341.1207831164,485457.6183299809,14251.952230795281,10832.591690427502
2025-03-15,-11628.672986179963,15802.290033401074,581712.4477969365,501259.9083633819,10567.10131340408,11491.738577107248
2025-03-16,-1716.1758261640352,12735.341126203783,579996.2719707724,513995.2494895857,9976.472452724633,11442.961954249231
2025-03-27,3350.0,2950.7565989981435,583346.2719707724,516946.00608858385,-361.2122030859996,8369.458736593342
2025-03-28,-750.0,4819.546439942734,582596.2719707724,521765.5525285266,-2686.2122030859996,9076.983549636434
2025-03-29,12916.061479322196,15165.914533827532,595512.3334500946,536931.4670623541,3449.97141328954,8917.889674743048
2025-03-30,28550.31004804032,16897.187280264006,624062.6434981349,553828.6543426181,11016.592881840628,9958.351213258104
2025-03-31,5451.6238882604475,3604.4484966968184,629514.2673863954,557433.1028393148,9903.599083124593,8687.570669945846
2025-04-01,4938.479484449885,7.085951469666412,634452.7468708452,557440.1887907846,9076.079150012141,7240.823216866484
2025-04-02,13750.0,8143.705702070248,648202.7468708452,565583.8944928548,9743.782128581835,7369.80642903845
2025-04-03,5115.941366946577,5.312853334331777,653318.6882377918,565589.2073461892,9165.302033377428,6449.2447320754345
2025-04-04,48350.0,44764.76385425667,701668.6882377918,610353.9712004459,13519.15736300216,10706.524634540016
2025-04-05,39127.62503421372,10556.304580454536,740796.3132720055,620910.2757809004,16080.004130123314,10691.502629131468
2025-04-06,11469.891530292369,8555.442212618147,752266.2048022979,629465.7179935186,15660.902984684137,10497.315318539348
2025-04-07,-10089.230867009232,1834.7611390444767,742176.9739352886,631300.479132563,13515.058497043023,9775.435803581442
2025-04-11,6699.999999999999,4682.946823914266,748876.9739352886,635983.4259564773,15116.427451319661,10383.443038904608
2025-04-12,37775.20005532464,25898.41637086043,786652.1739906132,661881.8423273377,17376.349140047158,11359.125024089417
2025-04-13,32625.125808822384,19226.654535019272,819277.2997994355,681108.496862357,17746.78693648189,11570.894774521714
2025-04-14,14149.999999999998,4387.988010284609,833427.2997994355,685496.4848726416,18537.548401185486,11642.12563939333
2025-04-16,12118.467558311393,6513.635407239772,845545.767357747,692010.1202798814,19734.302048690188,12642.62257870265
2025-04-17,11443.880270309477,1386.990048490678,856989.6476280565,693397.1103283721,20367.095939026472,12780.790298218286
2025-04-18,5808.609976973972,10958.115238417824,862798.2576050304,704355.22556679,16112.956936723876,9400.125436634402
2025-04-19,21471.36372657176,23977.231816641703,884269.6213316022,728332.4573834317,14347.330805959678,10742.218160253116
2025-04-20,51768.09000413561,57884.03945453068,936037.7113357378,786216.4968379624,18377.150653344,15675.07788444437
2025-04-22,-1834.5878402072237,3.499457233055807,934203.1234955306,786219.9962951954,19202.6149560242,15491.95171626323
2025-04-23,14267.981413185335,5053.783068123857,948471.1049087159,791273.7793633193,18754.011906675212,14543.027293705103
2025-04-24,7450.0,3067.2145743779693,955921.1049087159,794340.9939376973,17812.01091445228,13586.709567094507
2025-04-25,13850.0,7211.368857905428,969771.1049087159,801552.3627956026,18407.84424778561,13797.41140326044
2025-04-26,13600.39991489478,6678.512557131113,983371.5048236108,808230.8753527338,16393.277569416456,12195.75275211633
2025-04-27,9208.91458345576,19974.068256858547,992580.4194070665,828204.9436095923,14441.92663396924,12258.03722893627
2025-04-28,-2896.412114250264,1484.066382982905,989684.0072928163,829689.0099925752,13021.392291115051,12016.043759994462
2025-05-02,6450.0,4047.2050345206953,996134.0072928163,833736.2150270959,13333.574968778576,12938.098946030594
2025-05-03,2185.487213950266,16961.156032472205,998319.4945067666,850697.371059568,11404.987317516427,12236.491367613646
2025-05-04,22461.778200294735,16375.621998857629,1020781.2727070613,867072.9930584256,8474.35613713234,8085.6496220463405
2025-05-05,18843.36643386572,3227.8246104753616,1039624.639140927,870300.8176689009,9416.993436835373,7644.029166448979
2025-05-08,-10300.0,557.5873134383538,1029324.639140927,870858.4049823392,8155.948248023446,8501.934560515803
2025-05-09,-7650.0,1617.0047900240697,1021674.639140927,872475.4097723633,5767.059359134557,7880.3385529734305
2025-05-10,-4135.59688613236,30310.163202781736,1017539.0422547946,902785.572975145,3796.3930479093187,10506.077513601278
2025-05-11,45364.255633955196,33629.19480097051,1062903.2978887497,936414.7677761154,7813.653164631479,12023.313796280385
